CountryCode,SeriesCode,Year,DESCRIPTION
"GHA","IT.NET.USER.ZS","YR2010","Break in comparability: persons 12 years and older. Based on Census 2010 results. Ghana Statistical Service."
"GHA","IT.NET.USER.ZS","YR2011","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2012","Ghana Living Standards Survey 2012/2013. The estimate is based on weighting households who use internet by the household size over the total estimated population. Sample weights have also been applied. The question was asked at household level. Ghana Statistical Service"
"GHA","IT.NET.USER.ZS","YR2013","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2014","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2015","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2016","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2017","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2018","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2019","National Communications Authority and Ghana Statistical Service - Household Survey on ICT in Ghana"
"GHA","IT.NET.USER.ZS","YR2020","ITU estimate."
"GHA","IT.NET.USER.ZS","YR2021","Ghana 2021 Populationa and Housing Census"
"GHA","IT.NET.USER.ZS","YR2022","ITU estimate."
"GHA","SE.ADT.LITR.ZS","YR2017","UIS Estimation"
"GHA","SE.ADT.LITR.ZS","YR2020","UIS Estimation"
"GHA","SE.ENR.PRSC.FM.ZS","YR2002","UIS Estimation"
"GHA","SE.ENR.PRSC.FM.ZS","YR2005","UIS Estimation"
"GHA","SE.XPD.TOTL.GB.ZS","YR1999","UIS Estimation"
"GHA","SE.XPD.TOTL.GB.ZS","YR2015","UIS Estimation"
"GHA","SE.XPD.TOTL.GB.ZS","YR2016","UIS Estimation"
"GHA","SE.XPD.TOTL.GB.ZS","YR2017","UIS Estimation"
"GHA","SE.XPD.TOTL.GB.ZS","YR2018","UIS Estimation"
"GHA","SH.DYN.MORT","YR1960","Uncertainty bound is 186.8 - 234.2"
"GHA","SH.DYN.MORT","YR1961","Uncertainty bound is 185.9 - 230.6"
"GHA","SH.DYN.MORT","YR1962","Uncertainty bound is 185.6 - 226.9"
"GHA","SH.DYN.MORT","YR1963","Uncertainty bound is 185.8 - 224"
"GHA","SH.DYN.MORT","YR1964","Uncertainty bound is 186.7 - 221"
"GHA","SH.DYN.MORT","YR1965","Uncertainty bound is 188.2 - 218.5"
"GHA","SH.DYN.MORT","YR1966","Uncertainty bound is 190.1 - 215.9"
"GHA","SH.DYN.MORT","YR1967","Uncertainty bound is 192.6 - 213.3"
"GHA","SH.DYN.MORT","YR1968","Uncertainty bound is 194.8 - 211.4"
"GHA","SH.DYN.MORT","YR1969","Uncertainty bound is 195.8 - 210.4"
"GHA","SH.DYN.MORT","YR1970","Uncertainty bound is 195 - 210"
"GHA","SH.DYN.MORT","YR1971","Uncertainty bound is 193.2 - 209.5"
"GHA","SH.DYN.MORT","YR1972","Uncertainty bound is 191 - 207.4"
"GHA","SH.DYN.MORT","YR1973","Uncertainty bound is 188.4 - 203.7"
"GHA","SH.DYN.MORT","YR1974","Uncertainty bound is 184.8 - 198.8"
"GHA","SH.DYN.MORT","YR1975","Uncertainty bound is 180.4 - 193.3"
"GHA","SH.DYN.MORT","YR1976","Uncertainty bound is 174.8 - 188.5"
"GHA","SH.DYN.MORT","YR1977","Uncertainty bound is 169.3 - 184.2"
"GHA","SH.DYN.MORT","YR1978","Uncertainty bound is 164.4 - 180.7"
"GHA","SH.DYN.MORT","YR1979","Uncertainty bound is 160.7 - 178.1"
"GHA","SH.DYN.MORT","YR1980","Uncertainty bound is 158.4 - 176.3"
"GHA","SH.DYN.MORT","YR1981","Uncertainty bound is 156.7 - 175.1"
"GHA","SH.DYN.MORT","YR1982","Uncertainty bound is 155.1 - 173.4"
"GHA","SH.DYN.MORT","YR1983","Uncertainty bound is 153.3 - 171.2"
"GHA","SH.DYN.MORT","YR1984","Uncertainty bound is 150.6 - 168.1"
"GHA","SH.DYN.MORT","YR1985","Uncertainty bound is 146.8 - 163.7"
"GHA","SH.DYN.MORT","YR1986","Uncertainty bound is 142 - 158.4"
"GHA","SH.DYN.MORT","YR1987","Uncertainty bound is 136.5 - 152.5"
"GHA","SH.DYN.MORT","YR1988","Uncertainty bound is 130.8 - 146.4"
"GHA","SH.DYN.MORT","YR1989","Uncertainty bound is 125.3 - 140.3"
"GHA","SH.DYN.MORT","YR1990","Uncertainty bound is 120.6 - 134.8"
"GHA","SH.DYN.MORT","YR1991","Uncertainty bound is 116.6 - 130.3"
"GHA","SH.DYN.MORT","YR1992","Uncertainty bound is 113.6 - 126.8"
"GHA","SH.DYN.MORT","YR1993","Uncertainty bound is 111.5 - 124.3"
"GHA","SH.DYN.MORT","YR1994","Uncertainty bound is 109.8 - 122.6"
"GHA","SH.DYN.MORT","YR1995","Uncertainty bound is 108.4 - 120.9"
"GHA","SH.DYN.MORT","YR1996","Uncertainty bound is 106.8 - 119.2"
"GHA","SH.DYN.MORT","YR1997","Uncertainty bound is 104.7 - 116.9"
"GHA","SH.DYN.MORT","YR1998","Uncertainty bound is 101.9 - 113.9"
"GHA","SH.DYN.MORT","YR1999","Uncertainty bound is 98.5 - 110.3"
"GHA","SH.DYN.MORT","YR2000","Uncertainty bound is 94.7 - 106"
"GHA","SH.DYN.MORT","YR2001","Uncertainty bound is 90.7 - 101.8"
"GHA","SH.DYN.MORT","YR2002","Uncertainty bound is 86.9 - 97.7"
"GHA","SH.DYN.MORT","YR2003","Uncertainty bound is 83.4 - 93.8"
"GHA","SH.DYN.MORT","YR2004","Uncertainty bound is 80.3 - 90.4"
"GHA","SH.DYN.MORT","YR2005","Uncertainty bound is 77.4 - 87.2"
"GHA","SH.DYN.MORT","YR2006","Uncertainty bound is 74.6 - 84.3"
"GHA","SH.DYN.MORT","YR2007","Uncertainty bound is 71.7 - 81.2"
"GHA","SH.DYN.MORT","YR2008","Uncertainty bound is 68.7 - 78"
"GHA","SH.DYN.MORT","YR2009","Uncertainty bound is 65.5 - 74.6"
